#LastUpdate,2025/09/24
Name,ID,ShortName
FIGHTER_STATION, 31, PPF
RAID_STATION, 61, CGA
INSTRUCTOR_STATION, 91, CGA
NG_GMCC, 121, GMCC
ATC_SERVER, 151, ATC
PAR, 181, PAR
TPS_43, 211, TPS
MOCC, 241, MOCC
YLC_II, 271, YLC
AWARS, 301, AWRS
ATC_PSEUDO_PILOT, 331, PPA
SSS_SERVER, 361, SSS
ZDK_SERVER, 391, KE3
EW_STATION, 421, CGE
SPADA, 451, SPADA
FTS, 481, FTS
NG_GMCC_VSM, 511, VSM
NG_GMCC_SERVER, 541, GMCC
SSS_ESM, 571, ESM
EW_COMM, 601, EWC
EW_COMM_PLATFORM, 631, EWCP
ATC_INSTRUCTOR, 661, PPA
JTAC, 691, JTAC
JTAC_PSEUDO_PILOT, 721, PPCS
ISR, 751, ISR
CGF_LAND_NAVAL, 781, CGLN
IMAGE_GENERATOR, 811, IG
SMCC_SERVER, 841, SMCC
SIM_LIVE_GATEWAY, 871, GTW
VR_FORCES, 901, VRF
TACVIEW_CONNECT, 931, TAC
OTHER, 1, OTH
VCP_GATEWAY_JAVA, 5001, VCP_GTW
VCP_RECORDER, 5031, VCP_RCD
VCP, 5061, VCP
EXCON, 961, EXCON
